"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
2478,2,25,1980,10,"DM","M",36,49,"Dipodomys","merriami","Rodent","Rodent Exclosure"
3422,11,8,1980,10,"DM","M",35,40,"Dipodomys","merriami","Rodent","Rodent Exclosure"
3581,12,15,1980,10,"DM","M",36,41,"Dipodomys","merriami","Rodent","Rodent Exclosure"
3697,1,11,1981,10,"DM","M",36,49,"Dipodomys","merriami","Rodent","Rodent Exclosure"
3730,1,11,1981,10,"DM","M",36,43,"Dipodomys","merriami","Rodent","Rodent Exclosure"
6669,10,23,1982,10,"DM","M",36,41,"Dipodomys","merriami","Rodent","Rodent Exclosure"
3764,1,12,1981,10,"PE","M",21,25,"Peromyscus","eremicus","Rodent","Rodent Exclosure"
5139,12,31,1981,10,"PE","M",21,21,"Peromyscus","eremicus","Rodent","Rodent Exclosure"
7898,5,15,1983,10,"PE","M",19,14,"Peromyscus","eremicus","Rodent","Rodent Exclosure"
12585,4,6,1987,10,"PE","M",18,16,"Peromyscus","eremicus","Rodent","Rodent Exclosure"
19325,11,15,1991,10,"PE","M",20,24,"Peromyscus","eremicus","Rodent","Rodent Exclosure"
22783,9,24,1995,10,"PP","M",19,16,"Chaetodipus","penicillatus","Rodent","Rodent Exclosure"
2855,4,17,1980,10,"OT","M",19,10,"Onychomys","torridus","Rodent","Rodent Exclosure"
31089,7,2,2000,10,"OT","M",19,15,"Onychomys","torridus","Rodent","Rodent Exclosure"
33563,2,10,2002,10,"DO","M",34,52,"Dipodomys","ordii","Rodent","Rodent Exclosure"
33564,2,10,2002,10,"DO","M",38,51,"Dipodomys","ordii","Rodent","Rodent Exclosure"
2914,5,17,1980,10,"OL","M",19,36,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
3043,6,22,1980,10,"OL","M",20,35,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
3554,12,15,1980,10,"OL","M",21,33,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
3571,12,15,1980,10,"OL","M",21,40,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
3718,1,11,1981,10,"OL","M",20,37,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
3846,1,31,1981,10,"OL","M",21,41,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
4358,5,3,1981,10,"OL","M",21,41,"Onychomys","leucogaster","Rodent","Rodent Exclosure"
2327,1,15,1980,10,"RM","M",16,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
2442,2,24,1980,10,"RM","M",16,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
5240,1,24,1982,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
5582,3,29,1982,10,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
7398,2,27,1983,10,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
7457,2,27,1983,10,"RM","M",17,9,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
7739,4,17,1983,10,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
8117,7,17,1983,10,"RM","M",19,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
8348,9,11,1983,10,"RM","M",17,9,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
8788,12,9,1983,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
9154,5,13,1984,10,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
9328,7,4,1984,10,"RM","M",12,12,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
9335,7,4,1984,10,"RM","M",12,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
10119,3,17,1985,10,"RM","M",16,4,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
10525,6,16,1985,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
11310,3,9,1986,10,"RM","M",16,9,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
11331,3,9,1986,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
11616,6,5,1986,10,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
11685,7,4,1986,10,"RM","M",16,12,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
11701,7,4,1986,10,"RM","M",15,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
12265,2,1,1987,10,"RM","M",15,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
12462,3,2,1987,10,"RM","M",17,12,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
12752,5,28,1987,10,"RM","M",17,8,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
13811,11,22,1987,10,"RM","M",17,9,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
13982,1,24,1988,10,"RM","M",17,9,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
14003,1,24,1988,10,"RM","M",16,8,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
14299,3,21,1988,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
15292,12,14,1988,10,"RM","M",16,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
15394,1,11,1989,10,"RM","M",18,11,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
15401,1,11,1989,10,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Rodent Exclosure"
